FPAngleAtPKAM1,FPAngleAverage,KAMImpulse,KneeAbdAngleAverage,LimbPGRF1,LimbPGRF2,PKAM1,PKAM2,PKEM,PKFM,TLAngleAtPKAM1,Speed,Stride_Length_Mean,Stride_Width_Mean,Subject,Condition,Limb
-11.255814,-12.021004,-0.0517,1.800104,1.179338,1.133328,-0.268539,-0.063973,0.297117,-0.17628,3.969109,1.27945,1.31783,0.10428,4,Normal,Dominant
-10.453712,-11.391771,-0.102073,8.193029,1.01319,1.109682,-0.251771,-0.155904,0.168133,-0.084231,1.777404,0.95988,1.19985,0.17183,5,Normal,Dominant
-8.630234,-9.176558,-0.165199,8.397759,1.142201,1.120935,-0.401739,-0.3039,0.254854,-0.17671,-2.441451,1.0218,1.21594,0.10588,6,Normal,Dominant
-2.130573,-1.976267,-0.075084,-3.668051,1.272482,1.230596,-0.277548,-0.195664,0.424443,-0.240952,-2.802386,1.45453,1.6218,0.05389,7,Normal,Dominant
-0.841564,-2.046038,-0.119242,4.634022,1.20866,1.066702,-0.362546,-0.257868,0.168437,-0.195524,3.119169,1.36313,1.42448,0.12972,8,Normal,Dominant
-5.747003,-6.323851,-0.107282,3.40254,1.213743,1.117543,-0.391984,-0.17585,0.310175,-0.074786,2.994521,1.24325,1.47325,0.11264,9,Normal,Dominant
-15.024886,-15.714739,-0.063707,2.904173,1.050317,1.023046,-0.253867,-0.116689,0.316042,-0.095889,4.809596,1.30104,1.45717,0.13652,10,Normal,Dominant
-8.418278,-9.249887,-0.082708,1.191275,1.070691,1.060552,-0.219754,-0.134651,0.380765,-0.048976,4.830087,1.04678,1.2823,0.1349,11,Normal,Dominant
-13.624269,-13.9486,-0.07679,2.015237,1.152504,1.131355,-0.272454,-0.12481,0.344091,-0.009524,4.494199,1.30181,1.30181,0.17501,12,Normal,Dominant
-7.773728,-7.453303,-0.068495,-2.516172,1.129731,1.05352,-0.219827,-0.139892,0.491101,0.015779,1.800879,1.22062,1.34268,0.17265,13,Normal,Dominant
-12.317426,-13.098928,-0.051504,3.838158,1.309521,1.194795,-0.357664,-0.098557,0.281509,-0.30295,5.487505,1.37236,1.35863,0.15315,14,Normal,Dominant
-11.66764,-12.110279,-0.071306,3.68715,0.932601,1.057233,-0.228717,-0.111078,-0.04642,-0.140044,-3.340353,1.18884,1.25423,0.13571,15,Normal,Dominant
-5.8417,-6.80993,-0.060221,5.107132,1.228026,1.158272,-0.177017,-0.150431,0.443306,-0.151348,5.533675,1.16216,1.29,0.18016,0,Normal,Dominant
-10.478924,-11.292399,-0.057937,3.4286,1.104973,1.106888,-0.295834,-0.052374,0.154469,-0.232136,1.268344,1.46684,1.46684,0.18283,1,Normal,Dominant
-11.968898,-12.655992,-0.039075,0.765979,1.089685,1.062469,-0.117118,-0.103604,0.328749,-0.026352,2.007732,1.16064,1.31153,0.08185,2,Normal,Dominant
-1.456883,-2.271566,-0.046592,-0.692471,1.173692,1.203633,-0.25785,-0.137335,-0.059019,-0.263386,4.544769,1.28277,1.37257,0.16709,3,Normal,Dominant
-10.648242,-11.048544,-0.048302,1.978031,1.20492,1.148619,-0.214184,-0.071794,0.342624,-0.138424,5.69677,1.22776,1.22776,0.10622,4,Normal,Dominant
-7.510613,-8.024715,-0.095865,7.92042,1.056527,1.111311,-0.252374,-0.142234,0.203888,-0.07529,1.151232,0.96829,1.21036,0.16027,5,Normal,Dominant
