,Dom_Normal,Dom_Narrow,Dom_Crossover,Dom_Wide,NonDom_Normal,NonDom_Narrow,NonDom_Crossover,NonDom_Wide
1st KAM peak,,,,,,,,
KFM peak,,,,,,,,
KAM angular impulse,,,,,,,,
2nd KAM peak,,,,,,,,
FPA,,,,,,,,
SW,,,,,,,,
Walking speed,,,,,,,,
Trunk sway,,,,,,,,
